175,53,53,166,31
62,100,115,9,149
197,134,95,50,152
102,166,201,19,30
189,78,158,73,4
8,89,3,128,178
59,27,143,171,54
184,150,182,140,182
172,175,165,17,165
5,141,58,143,63
119,158,146,27,29
107,100,185,164,56
103,151,182,56,171
21,45,195,107,79
63,154,9,44,80
102,169,41,139,51
120,65,86,115,10
28,154,188,101,196
100,91,40,194,147
110,64,163,186,30
198,13,62,202,29
46,132,160,150,6
44,123,182,107,170
125,177,124,126,48
138,204,145,95,105
196,160,92,146,81
189,18,85,124,200
204,51,20,87,115
13,62,145,16,16
143,129,109,71,105
46,78,197,32,11
150,52,67,116,48
177,12,26,118,183
118,96,8,151,83
36,108,92,11,96
110,137,11,19,84
154,201,132,12,69
30,43,25,68,140
124,108,139,83,91
138,176,122,44,194
42,96,20,165,121
34,60,113,155,120
190,168,153,203,183
111,143,36,46,158
118,14,146,84,109
171,140,105,110,174
184,76,41,0,68
88,145,109,198,39
157,138,197,90,35
145,180,24,153,203
179,116,72,100,167
127,89,183,20,162
163,171,151,153,19
192,140,171,10,34
72,47,58,135,34
20,196,72,155,34
7,21,189,11,187
104,12,187,139,89
51,147,63,151,145
142,177,127,142,153
20,32,189,28,198
57,124,41,127,192
89,166,76,110,48
172,125,80,69,42
15,58,51,12,105
83,43,203,10,158
114,108,155,19,94
195,134,20,4,87
130,12,44,81,73
104,204,36,198,106
87,19,78,105,155
171,75,54,160,138
191,29,145,67,51
10,151,169,171,21
119,150,142,111,148
86,104,30,1,188
91,57,201,173,13
140,107,150,27,4
144,29,138,170,98
174,110,27,115,188
35,81,108,102,133
10,193,169,80,178
47,194,47,166,167
58,92,192,169,104
109,12,201,30,188
187,30,150,132,78
205,136,117,73,78
154,130,165,65,123
162,135,105,21,113
153,167,133,2,141
182,1,155,52,130
163,38,129,76,130
10,66,124,39,138
120,123,126,78,94
136,15,56,180,176
65,80,160,81,53
154,182,158,54,111
186,191,32,90,152
183,54,105,12,83
127,72,156,181,19
192,73,6,48,36
192,172,59,73,149
96,205,13,174,23
87,35,65,40,77
167,10,24,27,147
150,15,117,40,83
19,17,38,198,45
71,197,154,41,45
164,126,205,179,6
143,62,113,64,38
149,74,129,185,86
167,95,174,17,8
3,151,205,66,85
200,150,13,29,28
156,180,41,137,161
10,183,92,143,201
29,45,88,13,177
168,96,169,186,147
5,139,120,115,205
86,48,79,199,105
182,128,71,95,35
21,76,76,118,144
39,83,140,131,64
103,24,163,51,175
189,73,148,159,86
163,199,76,73,56
112,122,131,42,33
126,95,0,111,138
8,66,55,107,36
50,27,34,132,72
155,8,176,71,139
161,134,185,27,150
66,159,116,47,120
124,89,124,185,102
21,59,117,71,34
109,107,84,38,137
200,155,93,19,184
42,2,137,167,52
143,200,82,93,171
173,203,102,192,137
100,107,26,92,125
139,194,122,122,128
128,157,139,195,2
91,147,119,68,18
23,29,13,158,145
16,112,194,132,125
35,176,91,119,46
147,118,125,13,110
85,161,43,194,194
4,88,162,176,107
93,143,151,20,91
148,170,51,3,99
202,102,197,128,155
143,21,33,118,176
73,22,82,153,102
107,141,37,127,139
5,164,177,181,79
52,96,63,180,98
41,195,101,99,167
190,62,119,20,165
76,42,35,194,146
107,131,69,174,19
136,181,90,203,0
74,122,72,145,182
155,22,11,203,182
0,33,8,148,108
11,46,197,13,35
82,87,132,85,125
148,178,7,113,180
145,1,172,34,153
30,9,46,108,46
119,176,146,110,60
166,157,130,159,37
0,30,138,51,40
168,100,169,186,69
83,158,203,153,36
6,185,91,52,11
116,34,46,165,96
124,43,180,179,124
188,71,91,75,29
20,153,68,187,203
190,157,176,21,94
19,110,129,29,17
82,95,185,91,158
26,58,122,159,61
7,100,30,35,125
55,179,159,25,103
61,10,29,92,104
177,51,125,91,30
158,205,185,45,130
75,30,78,36,160
158,19,13,193,47
21,25,120,46,23
122,178,145,76,127
101,31,51,36,81
146,49,24,15,122
195,115,174,48,175
118,201,194,26,43
9,79,129,21,196
168,126,21,133,175
48,68,153,195,116
66,28,101,183,140
65,152,42,163,116
191,24,137,74,61
180,113,153,119,90
30,35,161,115,133
109,89,37,99,162
160,118,202,178,115
124,64,191,203,131
19,38,49,197,174
5,40,72,134,173
127,139,122,132,153
201,64,158,198,66
51,170,181,156,112
55,167,171,10,36
105,196,180,191,103
103,90,40,31,34
52,190,40,135,21
62,5,48,29,35
205,96,50,187,95
117,28,83,183,174
45,147,199,24,96
30,43,201,19,69
202,32,155,95,50
91,23,128,105,54
53,7,52,35,175
144,136,23,118,129
190,55,120,108,126
66,125,43,2,50
166,156,113,113,142
20,22,43,17,136
149,137,119,53,47
137,65,188,88,54
4,202,97,192,193
163,146,7,140,152
11,163,41,67,104
72,40,87,43,93
92,111,81,14,101
187,105,49,153,149
82,149,88,197,181
123,88,70,48,84
89,28,184,85,26
179,131,73,37,76
36,150,184,192,69
31,139,48,167,186
119,154,107,201,188
162,1,4,100,55
